2025-08-19 15:16:53,323 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\Administrator\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-19 15:16:53,323 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\Administrator\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,323 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\Administrator\\AppData\\Local\\Programs\\Python\\Python310\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-19 15:16:53,324 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LTYPEO.TTF', name='Lucida Sans Typewriter', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-08-19 15:16:53,324 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibri_0.ttf', name='Calibri', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,324 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\verdanai_0.ttf', name='Verdana', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 8.92878787878788
2025-08-19 15:16:53,324 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\YuGothL_0.ttc', name='Yu Gothic', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2025-08-19 15:16:53,324 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LFAXDI.TTF', name='Lucida Fax', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguili_0.ttf', name='Segoe UI', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\tahoma_1.ttf', name='Tahoma', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PARCHM.TTF', name='Parchment', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TEMPSITC.TTF', name='Tempus Sans ITC', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\CENTAUR.TTF', name='Centaur', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,325 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\constanz_0.ttf', name='Constantia', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ONYX.TTF', name='Onyx', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LTYPEBO.TTF', name='Lucida Sans Typewriter', style='oblique', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\pala_0.ttf', name='Palatino Linotype', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\COPRGTB.TTF', name='Copperplate Gothic Bold', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\upcibi.ttf', name='IrisUPC', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-19 15:16:53,326 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\corbel_0.ttf', name='Corbel', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,327 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\browalia.ttc', name='Browallia New', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,327 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ENGR.TTF', name='Engravers MT', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2025-08-19 15:16:53,327 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_BLAR.TTF', name='Bodoni MT', style='normal', variant='normal', weight=900, stretch='normal', size='scalable')) = 10.525
2025-08-19 15:16:53,327 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\upceb.ttf', name='EucrosiaUPC', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-08-19 15:16:53,327 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MOD20.TTF', name='Modern No. 20', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,328 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\timesbi_0.ttf', name='Times New Roman', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-08-19 15:16:53,328 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\seguiemj_0.ttf', name='Segoe UI Emoji', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-08-19 15:16:53,328 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ARIALN_0.TTF', name='Arial', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 3.583333333333333
2025-08-19 15:16:53,328 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LSANSDI.TTF', name='Lucida Sans', style='italic', variant='normal', weight=600, stretch='normal', size='scalable')) = 11.24
